Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
WR,Davante Adams (11452108),Davante Adams,11452108,WR/FLEX,8700,SF@GB 10/15/2018 08:15PM ET,GB,21.3
RB,David Johnson (11452078),David Johnson,11452078,RB/FLEX,7600,DEN@ARI 10/18/2018 08:20PM ET,ARI,15.7
WR,Emmanuel Sanders (11452110),Emmanuel Sanders,11452110,WR/FLEX,7200,DEN@ARI 10/18/2018 08:20PM ET,DEN,19.9
QB,Aaron Rodgers (11452066),Aaron Rodgers,11452066,QB,7100,SF@GB 10/15/2018 08:15PM ET,GB,22.32
WR,Demaryius Thomas (11452112),Demaryius Thomas,11452112,WR/FLEX,6200,DEN@ARI 10/18/2018 08:20PM ET,DEN,13.67
WR,Geronimo Allison (11452114),Geronimo Allison,11452114,WR/FLEX,5900,SF@GB 10/15/2018 08:15PM ET,GB,14.98
TE,George Kittle (11452160),George Kittle,11452160,TE/FLEX,5900,SF@GB 10/15/2018 08:15PM ET,SF,14.78
QB,Case Keenum (11452067),Case Keenum,11452067,QB,5700,DEN@ARI 10/18/2018 08:20PM ET,DEN,17.45
TE,Jimmy Graham (11452162),Jimmy Graham,11452162,TE/FLEX,5700,SF@GB 10/15/2018 08:15PM ET,GB,10.5
RB,Matt Breida (11452080),Matt Breida,11452080,RB/FLEX,5500,SF@GB 10/15/2018 08:15PM ET,SF,14.38
QB,C.J. Beathard (11452068),C.J. Beathard,11452068,QB,5400,SF@GB 10/15/2018 08:15PM ET,SF,15.83
RB,Aaron Jones (11452082),Aaron Jones,11452082,RB/FLEX,5300,SF@GB 10/15/2018 08:15PM ET,GB,9.6
WR,Randall Cobb (11452116),Randall Cobb,11452116,WR/FLEX,5300,SF@GB 10/15/2018 08:15PM ET,GB,14.8
QB,Josh Rosen (11452069),Josh Rosen,11452069,QB,5200,DEN@ARI 10/18/2018 08:20PM ET,ARI,8.31
RB,Alfred Morris (11452084),Alfred Morris,11452084,RB/FLEX,5200,SF@GB 10/15/2018 08:15PM ET,SF,8.08
WR,Marquez Valdes-Scantling (11452118),Marquez Valdes-Scantling,11452118,WR/FLEX,5100,SF@GB 10/15/2018 08:15PM ET,GB,5.18
RB,Phillip Lindsay (11452086),Phillip Lindsay,11452086,RB/FLEX,4900,DEN@ARI 10/18/2018 08:20PM ET,DEN,12.48
WR,Marquise Goodwin (11452120),Marquise Goodwin,11452120,WR/FLEX,4900,SF@GB 10/15/2018 08:15PM ET,SF,5.53
WR,Pierre Garcon (11452122),Pierre Garcon,11452122,WR/FLEX,4800,SF@GB 10/15/2018 08:15PM ET,SF,6.96
WR,Larry Fitzgerald (11452124),Larry Fitzgerald,11452124,WR/FLEX,4700,DEN@ARI 10/18/2018 08:20PM ET,ARI,7.25
QB,Chad Kelly (11452070),Chad Kelly,11452070,QB,4600,DEN@ARI 10/18/2018 08:20PM ET,DEN,-0.1
QB,Sam Bradford (11452071),Sam Bradford,11452071,QB,4500,DEN@ARI 10/18/2018 08:20PM ET,ARI,6.23
WR,Christian Kirk (11452126),Christian Kirk,11452126,WR/FLEX,4500,DEN@ARI 10/18/2018 08:20PM ET,ARI,10.55
QB,DeShone Kizer (11452072),DeShone Kizer,11452072,QB,4500,SF@GB 10/15/2018 08:15PM ET,GB,0.2
QB,Nick Mullens (11452073),Nick Mullens,11452073,QB,4500,SF@GB 10/15/2018 08:15PM ET,SF,0
QB,Mike Glennon (11452074),Mike Glennon,11452074,QB,4300,DEN@ARI 10/18/2018 08:20PM ET,ARI,0
RB,Chase Edmonds (11452088),Chase Edmonds,11452088,RB/FLEX,4300,DEN@ARI 10/18/2018 08:20PM ET,ARI,2.87
RB,Jamaal Williams (11452090),Jamaal Williams,11452090,RB/FLEX,4300,SF@GB 10/15/2018 08:15PM ET,GB,6.64
RB,Royce Freeman (11452092),Royce Freeman,11452092,RB/FLEX,4200,DEN@ARI 10/18/2018 08:20PM ET,DEN,8.55
WR,Trent Taylor (11452128),Trent Taylor,11452128,WR/FLEX,4200,SF@GB 10/15/2018 08:15PM ET,SF,6.9
QB,Kevin Hogan (11452075),Kevin Hogan,11452075,QB,4000,DEN@ARI 10/18/2018 08:20PM ET,DEN,0
WR,Courtland Sutton (11452130),Courtland Sutton,11452130,WR/FLEX,4000,DEN@ARI 10/18/2018 08:20PM ET,DEN,6.8
QB,Tim Boyle (11452076),Tim Boyle,11452076,QB,4000,SF@GB 10/15/2018 08:15PM ET,GB,0
QB,Jimmy Garoppolo (11452077),Jimmy Garoppolo,11452077,QB,4000,SF@GB 10/15/2018 08:15PM ET,SF,17.01
RB,Kyle Juszczyk (11452094),Kyle Juszczyk,11452094,RB/FLEX,4000,SF@GB 10/15/2018 08:15PM ET,SF,8.18
RB,Devontae Booker (11452096),Devontae Booker,11452096,RB/FLEX,3900,DEN@ARI 10/18/2018 08:20PM ET,DEN,5.47
RB,Ty Montgomery (11452098),Ty Montgomery,11452098,RB/FLEX,3900,SF@GB 10/15/2018 08:15PM ET,GB,7.3
WR,Dante Pettis (11452132),Dante Pettis,11452132,WR/FLEX,3700,SF@GB 10/15/2018 08:15PM ET,SF,4.65
WR,Kendrick Bourne (11452134),Kendrick Bourne,11452134,WR/FLEX,3700,SF@GB 10/15/2018 08:15PM ET,SF,6.16
WR,Equanimeous St. Brown (11452136),Equanimeous St. Brown,11452136,WR/FLEX,3600,SF@GB 10/15/2018 08:15PM ET,GB,5.95
DST,Packers  (11452188),Packers ,11452188,DST,3600,SF@GB 10/15/2018 08:15PM ET,GB,8.8
RB,T.J. Logan (11452100),T.J. Logan,11452100,RB/FLEX,3500,DEN@ARI 10/18/2018 08:20PM ET,ARI,0
RB,Raheem Mostert (11452102),Raheem Mostert,11452102,RB/FLEX,3300,SF@GB 10/15/2018 08:15PM ET,SF,0.54
TE,Ricky Seals-Jones (11452164),Ricky Seals-Jones,11452164,TE/FLEX,3100,DEN@ARI 10/18/2018 08:20PM ET,ARI,6.7
RB,Andy Janovich (11452104),Andy Janovich,11452104,RB/FLEX,3000,DEN@ARI 10/18/2018 08:20PM ET,DEN,1.08
RB,Derrick Coleman (11452106),Derrick Coleman,11452106,RB/FLEX,3000,DEN@ARI 10/18/2018 08:20PM ET,ARI,0.67
WR,DaeSean Hamilton (11452138),DaeSean Hamilton,11452138,WR/FLEX,3000,DEN@ARI 10/18/2018 08:20PM ET,DEN,1.23
WR,Tim Patrick (11452140),Tim Patrick,11452140,WR/FLEX,3000,DEN@ARI 10/18/2018 08:20PM ET,DEN,0.87
WR,Jordan Taylor (11452142),Jordan Taylor,11452142,WR/FLEX,3000,DEN@ARI 10/18/2018 08:20PM ET,DEN,0
WR,Chad Williams (11452144),Chad Williams,11452144,WR/FLEX,3000,DEN@ARI 10/18/2018 08:20PM ET,ARI,2.8
WR,Kendall Wright (11452146),Kendall Wright,11452146,WR/FLEX,3000,DEN@ARI 10/18/2018 08:20PM ET,ARI,0
WR,J.J. Nelson (11452148),J.J. Nelson,11452148,WR/FLEX,3000,DEN@ARI 10/18/2018 08:20PM ET,ARI,0.55
WR,Trent Sherfield (11452150),Trent Sherfield,11452150,WR/FLEX,3000,DEN@ARI 10/18/2018 08:20PM ET,ARI,0
DST,Broncos  (11452189),Broncos ,11452189,DST,3000,DEN@ARI 10/18/2018 08:20PM ET,DEN,5.67
WR,J'Mon Moore (11452152),J'Mon Moore,11452152,WR/FLEX,3000,SF@GB 10/15/2018 08:15PM ET,GB,0
WR,Jake Kumerow (11452154),Jake Kumerow,11452154,WR/FLEX,3000,SF@GB 10/15/2018 08:15PM ET,GB,0
WR,Victor Bolden Jr. (11452156),Victor Bolden Jr.,11452156,WR/FLEX,3000,SF@GB 10/15/2018 08:15PM ET,SF,2
WR,Richie James Jr. (11452158),Richie James Jr.,11452158,WR/FLEX,3000,SF@GB 10/15/2018 08:15PM ET,SF,0.85
TE,Garrett Celek (11452166),Garrett Celek,11452166,TE/FLEX,3000,SF@GB 10/15/2018 08:15PM ET,SF,2.38
TE,Jermaine Gresham (11452168),Jermaine Gresham,11452168,TE/FLEX,2900,DEN@ARI 10/18/2018 08:20PM ET,ARI,1.9
TE,Jeff Heuerman (11452170),Jeff Heuerman,11452170,TE/FLEX,2800,DEN@ARI 10/18/2018 08:20PM ET,DEN,4.5
DST,Cardinals  (11452190),Cardinals ,11452190,DST,2700,DEN@ARI 10/18/2018 08:20PM ET,ARI,9
TE,Brian Parker (11452172),Brian Parker,11452172,TE/FLEX,2500,DEN@ARI 10/18/2018 08:20PM ET,DEN,0
TE,Matt LaCosse (11452174),Matt LaCosse,11452174,TE/FLEX,2500,DEN@ARI 10/18/2018 08:20PM ET,DEN,1.38
TE,Gabe Holmes (11452176),Gabe Holmes,11452176,TE/FLEX,2500,DEN@ARI 10/18/2018 08:20PM ET,ARI,0
TE,Marcedes Lewis (11452178),Marcedes Lewis,11452178,TE/FLEX,2500,SF@GB 10/15/2018 08:15PM ET,GB,0
TE,Lance Kendricks (11452180),Lance Kendricks,11452180,TE/FLEX,2500,SF@GB 10/15/2018 08:15PM ET,GB,2.8
TE,Robert Tonyan (11452182),Robert Tonyan,11452182,TE/FLEX,2500,SF@GB 10/15/2018 08:15PM ET,GB,0
TE,Cole Wick (11452184),Cole Wick,11452184,TE/FLEX,2500,SF@GB 10/15/2018 08:15PM ET,SF,0
TE,Kyle Nelson (11452186),Kyle Nelson,11452186,TE/FLEX,2500,SF@GB 10/15/2018 08:15PM ET,SF,0
DST,49ers  (11452191),49ers ,11452191,DST,2000,SF@GB 10/15/2018 08:15PM ET,SF,3.4
